model,fold,n_train,n_val,accuracy,f1_macro,f1_weighted
logreg,1,3177,795,0.2691823899371069,0.055446998283590856,0.2081480723051144
logreg,2,3177,795,0.2742138364779874,0.06248670365961717,0.20910862233140257
logreg,3,3178,794,0.25692695214105793,0.05939266465323858,0.20040611971882957
logreg,4,3178,794,0.29345088161209065,0.08437526521079286,0.2345620720746596
logreg,5,3178,794,0.2783375314861461,0.05425070938183082,0.21153131683991644
svm,1,3177,795,0.15471698113207547,0.12278610878520238,0.14847514038578147
svm,2,3177,795,0.14842767295597484,0.1392445257642657,0.1433579310555974
svm,3,3178,794,0.1561712846347607,0.11505159071446162,0.1464531393726866
svm,4,3178,794,0.15869017632241814,0.09524605945664091,0.15536314012094407
svm,5,3178,794,0.15365239294710328,0.12914231371940815,0.14789164277622485
rf,1,3177,795,0.1471698113207547,0.07226700405672913,0.1321104957230557
rf,2,3177,795,0.15220125786163521,0.06693906133720925,0.14029638914142328
rf,3,3178,794,0.13476070528967254,0.0602936567726826,0.12382168878084486
rf,4,3178,794,0.15869017632241814,0.06410409532328204,0.14742502921408798
rf,5,3178,794,0.14105793450881612,0.06375775557102674,0.12888670968175633
gb,1,3177,795,0.20754716981132076,0.00949860400186133,0.08043222287583421
gb,2,3177,795,0.19371069182389938,0.032127565865194364,0.11910138669922067
gb,3,3178,794,0.1397984886649874,0.07044141084427022,0.1337673537663555
gb,4,3178,794,0.14357682619647355,0.045885026074744546,0.13089549494229802
gb,5,3178,794,0.07052896725440806,0.04413505078392872,0.06860047773614826
